"","Norm.","Homosc.","Indep.","Regress.Test","intercept","A"
"Li7",0,NA,1,0.289962284874573,0.0668342554307935,0.00131521253082027
"B11",0,NA,0,0.393063976437431,0.0215376071131057,0.000199148454868607
"Mg25",0,NA,0,0.750352952146593,0.0293268325851709,0.0002234687030388
"Ca43",NA,NA,NA,NA,1,0
"Ti49",0,NA,0,0.29565259047131,0.00938802928462127,0.000557459491725551
"V51",0,NA,0,0.288566462108126,0.255168506812262,0.0068265326344058
"Cr53",0,NA,0,0.333179715567474,0.0219807028035306,0.000443361375914103
"Mn55",0,NA,0,0.511273339635406,0.362825087264321,-0.00977054966325297
"Ni60",0,NA,0,0.290756561965175,0.0595984643632284,0.000850572543058355
"Cu65",0,NA,1,0.417074175708294,0.0592369787888788,0.000540959149591944
"Zn66",0,NA,0,0.264935864773229,0.0191957766454824,0.000591155183572302
"Rb85",0,NA,0,0.321157003774015,0.232915710334801,0.00339676751751295
"Sr86",0,NA,0,0.309649322287716,0.0785475988773709,0.000693596001414093
"Y89",0,NA,1,0.299698156628951,0.276853415877842,0.00276150957366644
"Mo97",0,NA,0,0.272376635544263,0.0247628040011996,0.00032326825189935
"Cd111",0,NA,0,0.219487954970252,0.0140050841796927,0.000244332972567255
"Sn118",0,NA,0,0.274532219210432,0.0944069871729212,0.000757719268555226
"Ba138",0,NA,0,0.165250949008679,0.346238689440742,0.00320192435549584
"Pb208",0,NA,1,0.310178792825121,0.197983226245191,-0.00054922068899235
"Th232",0,NA,0,0.243766187341909,0.279208476347969,-0.0029980962461353
"U238",0,NA,0,0.246948841483426,0.270719954932021,-0.00254175894848819
